arrival_year,arrival_month,booking_status,stays_in_weekend_nights,stays_in_week_nights,market_segment_type,avg_price_per_room
2017,10,1,1,2,Offline,65.0
2018,11,1,2,3,Online,106.68
2018,2,0,2,1,Online,60.0
2018,5,0,0,2,Online,100.0
2018,4,0,1,1,Online,94.5
2018,9,0,0,2,Online,115.0
2017,10,1,1,3,Online,107.55
2018,12,1,1,3,Online,105.61
2018,7,1,0,4,Offline,96.9
2018,10,1,0,5,Online,133.44
2018,9,1,1,0,Online,85.03
2018,4,1,2,1,Online,140.4
2018,11,0,2,1,Online,88.0
2018,11,0,2,0,Online,90.0
2017,10,1,0,2,Online,94.5
2018,6,0,0,2,Online,115.0
2017,10,1,1,0,Offline,96.0
2017,8,1,1,3,Online,96.0
2017,10,0,2,2,Online,65.0
2017,10,1,1,0,Offline,72.0
2017,10,0,2,2,Online,65.0
2018,11,1,0,1,Corporate,67.0
2018,3,1,2,4,Offline,85.0
2018,10,1,0,3,Offline,105.0
2018,5,1,2,1,Online,94.5
2018,4,1,0,2,Online,114.3
2017,9,1,1,1,Offline,65.0
2018,5,0,0,2,Aviation,110.0
2017,11,0,1,2,Online,37.33
2017,9,1,0,2,Offline,82.0
2017,9,1,1,1,Online,177.5
2018,11,1,2,2,Online,87.5
2018,12,1,0,3,Online,82.44
2018,1,1,0,1,Online,69.5
2018,10,1,0,2,Offline,85.5
2018,4,1,0,1,Online,115.0
2018,6,0,2,1,Online,81.0
2017,10,1,0,1,Offline,67.0
2018,11,0,2,3,Online,63.75
2018,7,0,2,1,Online,121.8
2018,11,1,0,4,Online,93.6
2018,6,1,0,2,Online,102.0
2018,4,1,2,1,Online,121.8
2018,6,0,1,1,Online,98.1
2017,11,1,0,4,Offline,60.0
2017,12,1,0,3,Offline,75.0
2017,11,1,0,2,Offline,73.0
2018,4,1,0,1,Offline,104.0
2018,11,1,0,4,Online,79.2
2018,12,1,1,3,Online,125.8
2018,5,1,2,5,Online,87.95
2018,4,0,2,2,Online,106.0
2018,5,1,1,2,Online,136.67
2017,11,1,0,4,Offline,60.0
2018,6,1,1,0,Online,89.0
2018,5,1,1,3,Online,136.0
2018,7,1,0,1,Online,94.5
2018,12,1,1,2,Online,93.6
2018,4,0,1,4,Online,120.6
2018,4,1,0,3,Online,99.3
2018,9,1,0,1,Online,258.0
2018,5,1,0,3,Online,120.12
2018,6,1,0,2,Offline,95.0
2017,9,1,0,1,Complementary,0.0
2018,12,1,2,1,Offline,75.0
2018,10,1,0,3,Online,157.5
2018,6,1,0,2,Online,97.7
2018,4,0,0,2,Online,142.0
2018,4,1,0,1,Offline,80.0
2018,4,1,1,2,Online,85.5
2018,8,1,0,3,Offline,100.0
2018,11,1,1,0,Online,88.0
2018,8,1,1,1,Online,122.85
2018,6,0,0,2,Online,100.0
2017,10,1,2,3,Offline,75.0
2018,3,1,1,4,Online,116.8
2018,12,1,1,1,Online,121.5
2018,6,1,1,2,Online,111.9
2018,6,0,2,5,Online,121.55
2018,3,1,0,5,Offline,75.0
2018,4,0,0,2,Online,159.3
2018,10,0,0,5,Online,132.3
2018,12,1,2,0,Online,88.0
2018,3,1,1,4,Online,98.82
2018,3,1,1,2,Online,98.3
2018,10,1,1,0,Online,150.0
2018,9,1,2,3,Online,96.05
2018,6,0,0,2,Online,130.0
2018,12,1,0,1,Online,95.0
2018,8,1,0,3,Offline,113.56
2018,5,1,1,3,Online,101.58
2018,3,1,1,2,Online,105.3
2018,4,1,2,1,Online,115.8
2018,5,1,0,1,Online,149.4
2018,8,0,2,5,Online,111.59
2018,8,1,0,2,Online,130.5
2018,8,0,0,2,Online,115.0
2018,4,1,0,4,Online,90.95
